,p_val,avg_log2FC,pct.1,pct.2,pct.diff,p_val_adj,cluster,gene
ACSL1.7,1.26E-140,-0.430105851,0.051,0.22,-0.169,3.81E-136,activated CD4 T cells,ACSL1
FAM49A.3,3.93E-140,-0.272932594,0.004,0.148,-0.144,1.19E-135,activated CD4 T cells,FAM49A
MZT2A.2,6.29E-140,0.347296317,0.496,0.347,0.149,1.90E-135,activated CD4 T cells,MZT2A
SH3BP5.1,5.02E-139,-0.330890113,0.062,0.236,-0.174,1.52E-134,activated CD4 T cells,SH3BP5
EGR1.8,7.82E-139,-0.495805475,0.069,0.239,-0.17,2.36E-134,activated CD4 T cells,EGR1
PTPN6.3,1.88E-138,-0.384060655,0.195,0.396,-0.201,5.68E-134,activated CD4 T cells,PTPN6
SLC31A2.7,2.88E-138,-0.285235581,0.024,0.18,-0.156,8.70E-134,activated CD4 T cells,SLC31A2
MGAT4A.3,2.06E-137,-0.328106533,0.078,0.257,-0.179,6.20E-133,activated CD4 T cells,MGAT4A
VIM.4,3.16E-137,-0.292610687,0.739,0.832,-0.093,9.53E-133,activated CD4 T cells,VIM
TNFSF13B.6,5.29E-137,-0.383835916,0.087,0.268,-0.181,1.59E-132,activated CD4 T cells,TNFSF13B
AQP9.6,5.32E-137,-0.394754637,0.002,0.141,-0.139,1.61E-132,activated CD4 T cells,AQP9
METTL8,1.36E-136,0.264938928,0.179,0.073,0.106,4.09E-132,activated CD4 T cells,METTL8
DSE.3,1.71E-136,-0.280070394,0.015,0.164,-0.149,5.17E-132,activated CD4 T cells,DSE
SLC8A1.7,2.02E-136,-0.27256098,0.006,0.148,-0.142,6.10E-132,activated CD4 T cells,SLC8A1
SLC2A3.6,5.42E-136,-0.450310435,0.222,0.411,-0.189,1.64E-131,activated CD4 T cells,SLC2A3
RASSF4.6,6.61E-136,-0.288068246,0.019,0.17,-0.151,1.99E-131,activated CD4 T cells,RASSF4
C15orf48.7,1.57E-135,-0.506037582,0.071,0.236,-0.165,4.75E-131,activated CD4 T cells,C15orf48
GNS.6,2.49E-135,-0.324684739,0.048,0.213,-0.165,7.51E-131,activated CD4 T cells,GNS
RNF19A,4.19E-135,0.358337211,0.338,0.192,0.146,1.26E-130,activated CD4 T cells,RNF19A
BLVRB.5,1.09E-134,-0.361907402,0.081,0.255,-0.174,3.28E-130,activated CD4 T cells,BLVRB
PTPN12.5,1.50E-134,-0.299916008,0.028,0.183,-0.155,4.51E-130,activated CD4 T cells,PTPN12
SMIM14.5,4.49E-134,-0.318659952,0.047,0.211,-0.164,1.36E-129,activated CD4 T cells,SMIM14
TMEM176A.6,6.23E-134,-0.314347351,0.02,0.169,-0.149,1.88E-129,activated CD4 T cells,TMEM176A
SLC25A37.6,1.05E-133,-0.481995094,0.081,0.253,-0.172,3.16E-129,activated CD4 T cells,SLC25A37
GCA.4,3.97E-133,-0.437248029,0.1,0.279,-0.179,1.20E-128,activated CD4 T cells,GCA
DDAH2.3,4.29E-133,-0.297688722,0.059,0.229,-0.17,1.29E-128,activated CD4 T cells,DDAH2
LILRB2.5,4.80E-133,-0.295545719,0.003,0.139,-0.136,1.45E-128,activated CD4 T cells,LILRB2
PPT1.8,8.67E-133,-0.391098273,0.183,0.365,-0.182,2.62E-128,activated CD4 T cells,PPT1
RAB20.5,1.03E-132,-0.259943873,0.008,0.148,-0.14,3.10E-128,activated CD4 T cells,RAB20
ABCA1.4,1.77E-131,-0.311190822,0.01,0.15,-0.14,5.34E-127,activated CD4 T cells,ABCA1
SKAP2.4,2.12E-131,-0.364082428,0.115,0.299,-0.184,6.40E-127,activated CD4 T cells,SKAP2
BUB3.4,2.78E-131,0.328334093,0.468,0.313,0.155,8.39E-127,activated CD4 T cells,BUB3
BMP2K.4,8.23E-131,-0.304916493,0.025,0.174,-0.149,2.48E-126,activated CD4 T cells,BMP2K
CLEC4A.4,9.84E-131,-0.264560654,0.006,0.142,-0.136,2.97E-126,activated CD4 T cells,CLEC4A
IL1B.6,8.23E-130,-0.490941237,0.008,0.144,-0.136,2.48E-125,activated CD4 T cells,IL1B
LDHB.4,1.55E-129,0.303570104,0.661,0.52,0.141,4.69E-125,activated CD4 T cells,LDHB
FCN1.6,2.20E-129,-0.453181243,0.006,0.14,-0.134,6.65E-125,activated CD4 T cells,FCN1
QKI.7,5.14E-129,-0.3508588,0.091,0.265,-0.174,1.55E-124,activated CD4 T cells,QKI
MPP1.4,1.14E-128,-0.293643141,0.039,0.194,-0.155,3.44E-124,activated CD4 T cells,MPP1
PYGL.5,1.64E-128,-0.301400972,0.004,0.137,-0.133,4.96E-124,activated CD4 T cells,PYGL
LIPA.6,1.80E-128,-0.399139852,0.09,0.259,-0.169,5.44E-124,activated CD4 T cells,LIPA
ITK.6,7.03E-128,0.259929314,0.242,0.113,0.129,2.12E-123,activated CD4 T cells,ITK
PYCARD.8,1.27E-127,-0.374351374,0.246,0.431,-0.185,3.83E-123,activated CD4 T cells,PYCARD
NR3C1.1,1.81E-127,0.365133586,0.438,0.296,0.142,5.46E-123,activated CD4 T cells,NR3C1
RHOQ.3,2.28E-127,-0.275565239,0.031,0.182,-0.151,6.87E-123,activated CD4 T cells,RHOQ
LMO4,3.30E-127,-0.333626535,0.066,0.231,-0.165,9.96E-123,activated CD4 T cells,LMO4
MAP3K8.3,3.47E-127,-0.290099253,0.04,0.195,-0.155,1.05E-122,activated CD4 T cells,MAP3K8
SLCO2B1.6,7.06E-127,-0.31839347,0.014,0.152,-0.138,2.13E-122,activated CD4 T cells,SLCO2B1
HPGD,1.50E-126,0.290899637,0.166,0.067,0.099,4.53E-122,activated CD4 T cells,HPGD
KLF2.7,2.50E-126,-0.452416727,0.159,0.346,-0.187,7.55E-122,activated CD4 T cells,KLF2
CLEC4E.6,7.30E-126,-0.344208358,0.003,0.134,-0.131,2.20E-121,activated CD4 T cells,CLEC4E
GAA.6,9.80E-126,-0.279650426,0.033,0.182,-0.149,2.96E-121,activated CD4 T cells,GAA
ADM.7,1.67E-125,-0.385279661,0.023,0.164,-0.141,5.03E-121,activated CD4 T cells,ADM
VEGFA.6,1.92E-125,-0.327169371,0.023,0.166,-0.143,5.80E-121,activated CD4 T cells,VEGFA
APOE.8,5.55E-125,-0.791799487,0.176,0.331,-0.155,1.68E-120,activated CD4 T cells,APOE
TLR4.4,7.23E-125,-0.261424233,0.002,0.13,-0.128,2.18E-120,activated CD4 T cells,TLR4
SLC43A2.4,7.42E-125,-0.30529927,0.025,0.168,-0.143,2.24E-120,activated CD4 T cells,SLC43A2
HNRNPLL,4.80E-124,0.265549245,0.221,0.105,0.116,1.45E-119,activated CD4 T cells,HNRNPLL
METRNL.3,5.83E-124,-0.335189255,0.068,0.233,-0.165,1.76E-119,activated CD4 T cells,METRNL
DOK3.3,2.20E-123,-0.25730735,0.006,0.136,-0.13,6.65E-119,activated CD4 T cells,DOK3
GNAQ.7,3.44E-123,-0.32042361,0.077,0.242,-0.165,1.04E-118,activated CD4 T cells,GNAQ
ZFP36.3,3.53E-123,-0.352335169,0.514,0.671,-0.157,1.07E-118,activated CD4 T cells,ZFP36
DMXL2.6,4.33E-123,-0.270441829,0.007,0.137,-0.13,1.31E-118,activated CD4 T cells,DMXL2
CTSL.7,5.42E-123,-0.516766778,0.105,0.266,-0.161,1.63E-118,activated CD4 T cells,CTSL
LRRK2.5,6.43E-123,-0.3434688,0.004,0.131,-0.127,1.94E-118,activated CD4 T cells,LRRK2
LBH.6,2.77E-122,0.283953672,0.343,0.189,0.154,8.35E-118,activated CD4 T cells,LBH
KIAA0930.4,2.99E-122,-0.270730382,0.024,0.165,-0.141,9.04E-118,activated CD4 T cells,KIAA0930
RAB13.3,7.97E-122,-0.260968107,0.023,0.164,-0.141,2.40E-117,activated CD4 T cells,RAB13
MSI2,8.57E-122,0.277508671,0.245,0.123,0.122,2.59E-117,activated CD4 T cells,MSI2
C17orf49.1,8.67E-122,0.323341571,0.308,0.178,0.13,2.61E-117,activated CD4 T cells,C17orf49
NPL.6,8.72E-122,-0.280497459,0.017,0.153,-0.136,2.63E-117,activated CD4 T cells,NPL
APOBR.3,1.16E-121,-0.277426918,0.016,0.151,-0.135,3.50E-117,activated CD4 T cells,APOBR
MYO1F.4,1.97E-121,-0.414281034,0.188,0.37,-0.182,5.94E-117,activated CD4 T cells,MYO1F
PLXNC1.4,1.55E-120,-0.313877471,0.023,0.161,-0.138,4.69E-116,activated CD4 T cells,PLXNC1
SEPT6.4,3.49E-120,0.328350266,0.494,0.349,0.145,1.05E-115,activated CD4 T cells,06-Sep
OPTN.6,8.78E-120,0.280962017,0.3,0.162,0.138,2.65E-115,activated CD4 T cells,OPTN
PGD.6,1.01E-119,-0.327956122,0.071,0.228,-0.157,3.06E-115,activated CD4 T cells,PGD
GRINA.6,1.35E-119,-0.348854921,0.117,0.289,-0.172,4.08E-115,activated CD4 T cells,GRINA
SPP1.8,3.28E-119,-0.787073207,0.195,0.348,-0.153,9.89E-115,activated CD4 T cells,SPP1
RTN4.6,5.60E-119,-0.349757092,0.303,0.478,-0.175,1.69E-114,activated CD4 T cells,RTN4
MAF.6,5.69E-119,0.306884373,0.321,0.18,0.141,1.72E-114,activated CD4 T cells,MAF
TNFRSF1A.3,6.09E-119,-0.31665151,0.095,0.264,-0.169,1.84E-114,activated CD4 T cells,TNFRSF1A
EMILIN2.6,7.18E-119,-0.259781248,0.02,0.156,-0.136,2.17E-114,activated CD4 T cells,EMILIN2
SLC1A3.6,1.32E-118,-0.254940195,0.007,0.134,-0.127,3.97E-114,activated CD4 T cells,SLC1A3
GM2A.4,1.79E-118,-0.285620884,0.034,0.177,-0.143,5.41E-114,activated CD4 T cells,GM2A
HMOX1.6,2.29E-118,-0.310045963,0.041,0.188,-0.147,6.91E-114,activated CD4 T cells,HMOX1
ALCAM.5,5.98E-118,-0.278767095,0.024,0.161,-0.137,1.80E-113,activated CD4 T cells,ALCAM
RHOB.6,1.32E-117,-0.340160852,0.079,0.239,-0.16,3.98E-113,activated CD4 T cells,RHOB
CORO1C.5,2.54E-117,-0.280281917,0.057,0.209,-0.152,7.66E-113,activated CD4 T cells,CORO1C
CLEC12A.3,3.28E-117,-0.2600711,0.004,0.127,-0.123,9.90E-113,activated CD4 T cells,CLEC12A
RBMS1.1,5.39E-117,-0.325976379,0.127,0.299,-0.172,1.63E-112,activated CD4 T cells,RBMS1
CLEC7A.7,4.71E-116,-0.357025517,0.105,0.271,-0.166,1.42E-111,activated CD4 T cells,CLEC7A
CD93.6,7.34E-116,-0.307170138,0.023,0.156,-0.133,2.21E-111,activated CD4 T cells,CD93
PHLDA1.3,8.12E-116,0.312443559,0.264,0.14,0.124,2.45E-111,activated CD4 T cells,PHLDA1
HLA-DMA.8,8.61E-116,-0.42145944,0.269,0.418,-0.149,2.60E-111,activated CD4 T cells,HLA-DMA
LGMN.6,2.57E-115,-0.337327242,0.028,0.164,-0.136,7.76E-111,activated CD4 T cells,LGMN
ARHGAP18.4,2.80E-115,-0.342306241,0.103,0.267,-0.164,8.45E-111,activated CD4 T cells,ARHGAP18
AC020656.1.7,7.89E-115,-0.361459338,0.014,0.141,-0.127,2.38E-110,activated CD4 T cells,AC020656.1
SCARB2.5,9.56E-115,-0.256212187,0.045,0.192,-0.147,2.88E-110,activated CD4 T cells,SCARB2
RGS18.4,1.98E-114,-0.281613205,0.005,0.126,-0.121,5.99E-110,activated CD4 T cells,RGS18
ANPEP.6,2.55E-114,-0.288489259,0.01,0.135,-0.125,7.68E-110,activated CD4 T cells,ANPEP
UPP1.4,2.83E-114,-0.341010448,0.146,0.32,-0.174,8.53E-110,activated CD4 T cells,UPP1
CYTIP.6,4.49E-114,0.300038111,0.636,0.492,0.144,1.35E-109,activated CD4 T cells,CYTIP
PAK1.5,6.15E-114,-0.275128733,0.038,0.179,-0.141,1.86E-109,activated CD4 T cells,PAK1
APLP2.7,2.26E-113,-0.404447482,0.236,0.4,-0.164,6.81E-109,activated CD4 T cells,APLP2
ADGRE2.4,3.67E-113,-0.25765077,0.003,0.121,-0.118,1.11E-108,activated CD4 T cells,ADGRE2
NCF1.5,4.57E-113,-0.405510924,0.197,0.372,-0.175,1.38E-108,activated CD4 T cells,NCF1
JAML.6,5.04E-113,-0.389057639,0.126,0.29,-0.164,1.52E-108,activated CD4 T cells,JAML
GPR65,6.06E-113,-0.299140492,0.087,0.248,-0.161,1.83E-108,activated CD4 T cells,GPR65
DOCK5.2,7.08E-113,-0.269111781,0.013,0.138,-0.125,2.14E-108,activated CD4 T cells,DOCK5
ACTN1.5,1.28E-112,-0.331621971,0.067,0.216,-0.149,3.86E-108,activated CD4 T cells,ACTN1
PPM1G.1,1.54E-112,0.321498792,0.39,0.259,0.131,4.64E-108,activated CD4 T cells,PPM1G
TIMP1.7,1.97E-111,-0.423444493,0.354,0.508,-0.154,5.93E-107,activated CD4 T cells,TIMP1
ZYX.4,4.45E-111,-0.342528599,0.159,0.33,-0.171,1.34E-106,activated CD4 T cells,ZYX
CCR1.4,4.74E-111,-0.273656827,0.029,0.163,-0.134,1.43E-106,activated CD4 T cells,CCR1
HLA-DPB1.7,6.98E-111,-0.395797379,0.601,0.631,-0.03,2.11E-106,activated CD4 T cells,HLA-DPB1
PLA2G7.5,8.31E-111,-0.266190073,0.004,0.12,-0.116,2.51E-106,activated CD4 T cells,PLA2G7
CSTB.6,1.11E-110,-0.420837344,0.514,0.621,-0.107,3.34E-106,activated CD4 T cells,CSTB
PTPN7.4,1.60E-110,0.289804076,0.366,0.222,0.144,4.84E-106,activated CD4 T cells,PTPN7
ARL6IP5,1.71E-110,0.26641308,0.698,0.594,0.104,5.17E-106,activated CD4 T cells,ARL6IP5
TKT.5,2.22E-110,-0.393945766,0.229,0.395,-0.166,6.68E-106,activated CD4 T cells,TKT
CYP27A1.7,3.50E-110,-0.293804957,0.007,0.125,-0.118,1.06E-105,activated CD4 T cells,CYP27A1
SYNE2.7,8.61E-110,0.296271992,0.359,0.208,0.151,2.60E-105,activated CD4 T cells,SYNE2
PLD3.7,8.90E-110,-0.370456775,0.114,0.271,-0.157,2.69E-105,activated CD4 T cells,PLD3
PHC2.4,1.84E-109,-0.347393244,0.063,0.208,-0.145,5.55E-105,activated CD4 T cells,PHC2
IL7R.8,1.12E-108,0.268952019,0.509,0.311,0.198,3.39E-104,activated CD4 T cells,IL7R
NAIP.3,1.44E-108,-0.262889921,0.029,0.16,-0.131,4.36E-104,activated CD4 T cells,NAIP
PHACTR2.1,1.47E-108,0.335306524,0.27,0.154,0.116,4.42E-104,activated CD4 T cells,PHACTR2
TGFB1.2,5.78E-108,-0.326884508,0.19,0.365,-0.175,1.74E-103,activated CD4 T cells,TGFB1
IPCEF1.3,1.01E-107,0.262440555,0.208,0.099,0.109,3.04E-103,activated CD4 T cells,IPCEF1
RIN3.4,1.30E-107,-0.257630155,0.059,0.204,-0.145,3.91E-103,activated CD4 T cells,RIN3
PPP1R15A.4,1.39E-107,-0.374022244,0.22,0.392,-0.172,4.19E-103,activated CD4 T cells,PPP1R15A
TERF2IP.1,1.85E-107,0.299311138,0.525,0.39,0.135,5.57E-103,activated CD4 T cells,TERF2IP
MBP.2,1.23E-106,-0.343616253,0.161,0.329,-0.168,3.70E-102,activated CD4 T cells,MBP
RGS19.1,1.33E-105,-0.30355982,0.144,0.311,-0.167,4.02E-101,activated CD4 T cells,RGS19
SORL1.3,2.58E-105,-0.405995382,0.149,0.314,-0.165,7.79E-101,activated CD4 T cells,SORL1
XBP1.2,4.38E-105,-0.332905451,0.168,0.337,-0.169,1.32E-100,activated CD4 T cells,XBP1
C12orf57.5,4.96E-105,0.304284736,0.528,0.38,0.148,1.50E-100,activated CD4 T cells,C12orf57
MATK.5,6.91E-105,-0.282330342,0.019,0.139,-0.12,2.09E-100,activated CD4 T cells,MATK
PTPRE.5,8.24E-105,-0.32241111,0.093,0.245,-0.152,2.49E-100,activated CD4 T cells,PTPRE
IL17RA.3,9.09E-105,-0.318745555,0.05,0.187,-0.137,2.74E-100,activated CD4 T cells,IL17RA
NUPR1.8,1.39E-104,-0.48609586,0.048,0.18,-0.132,4.19E-100,activated CD4 T cells,NUPR1
HLA-DQA1.7,3.50E-104,-0.486900484,0.265,0.404,-0.139,1.06E-99,activated CD4 T cells,HLA-DQA1
HSD17B11,5.21E-104,-0.291764533,0.155,0.326,-0.171,1.57E-99,activated CD4 T cells,HSD17B11
MT-ND4L.2,2.31E-103,-0.359883921,0.412,0.577,-0.165,6.96E-99,activated CD4 T cells,MT-ND4L
RBPJ.4,3.84E-103,0.323536425,0.526,0.404,0.122,1.16E-98,activated CD4 T cells,RBPJ
NR4A2.1,2.10E-102,-0.350566682,0.096,0.245,-0.149,6.33E-98,activated CD4 T cells,NR4A2
ZBTB38.1,4.81E-102,0.323068044,0.316,0.195,0.121,1.45E-97,activated CD4 T cells,ZBTB38
STOM.3,2.45E-101,-0.266143765,0.094,0.247,-0.153,7.39E-97,activated CD4 T cells,STOM
LTA4H.5,3.90E-101,-0.320790592,0.112,0.262,-0.15,1.18E-96,activated CD4 T cells,LTA4H
AAK1.6,3.91E-101,0.31591092,0.46,0.327,0.133,1.18E-96,activated CD4 T cells,AAK1
MIDN.2,4.91E-101,-0.316621085,0.108,0.261,-0.153,1.48E-96,activated CD4 T cells,MIDN
KLRD1.8,1.11E-100,-0.420361329,0.024,0.141,-0.117,3.34E-96,activated CD4 T cells,KLRD1
RCAN3.2,1.43E-100,0.276043184,0.275,0.154,0.121,4.32E-96,activated CD4 T cells,RCAN3
SEPT1.7,1.90E-100,0.260366074,0.395,0.244,0.151,5.73E-96,activated CD4 T cells,01-Sep
STX3,2.84E-100,-0.260058841,0.012,0.124,-0.112,8.56E-96,activated CD4 T cells,STX3
HIF1A.5,1.49E-99,-0.343093482,0.193,0.355,-0.162,4.49E-95,activated CD4 T cells,HIF1A
CHCHD10.1,2.33E-99,-0.307244357,0.244,0.413,-0.169,7.04E-95,activated CD4 T cells,CHCHD10
SLA.3,2.42E-99,0.28324317,0.553,0.411,0.142,7.30E-95,activated CD4 T cells,SLA
SNX9.1,8.51E-99,0.287936767,0.254,0.144,0.11,2.57E-94,activated CD4 T cells,SNX9
CLPP,1.73E-98,0.290674945,0.332,0.212,0.12,5.21E-94,activated CD4 T cells,CLPP
MEF2A,2.68E-98,-0.25264016,0.076,0.221,-0.145,8.09E-94,activated CD4 T cells,MEF2A
G0S2.5,7.35E-98,-0.494629161,0.025,0.142,-0.117,2.22E-93,activated CD4 T cells,G0S2
TGFBR2.1,7.51E-98,-0.275159837,0.102,0.254,-0.152,2.27E-93,activated CD4 T cells,TGFBR2
GADD45B.5,8.43E-98,-0.368020317,0.217,0.377,-0.16,2.54E-93,activated CD4 T cells,GADD45B
IRAK3.6,2.03E-97,-0.257843013,0.038,0.163,-0.125,6.12E-93,activated CD4 T cells,IRAK3
CALM3.3,2.25E-97,0.276187005,0.575,0.463,0.112,6.79E-93,activated CD4 T cells,CALM3
NUP214.4,6.11E-97,-0.265804491,0.058,0.192,-0.134,1.84E-92,activated CD4 T cells,NUP214
HTATIP2,9.07E-97,0.321785226,0.3,0.188,0.112,2.74E-92,activated CD4 T cells,HTATIP2
UBE2D1.4,6.42E-96,-0.280542084,0.095,0.24,-0.145,1.94E-91,activated CD4 T cells,UBE2D1
AC114760.2.3,1.09E-95,0.286575795,0.295,0.173,0.122,3.28E-91,activated CD4 T cells,AC114760.2
CREB5.3,1.43E-95,-0.250799588,0.003,0.105,-0.102,4.32E-91,activated CD4 T cells,CREB5
THEM4.1,1.76E-95,0.265320648,0.221,0.117,0.104,5.31E-91,activated CD4 T cells,THEM4
RHBDD2,2.24E-95,0.278795755,0.273,0.16,0.113,6.76E-91,activated CD4 T cells,RHBDD2
MCEMP1.5,2.50E-95,-0.273577629,0.002,0.102,-0.1,7.54E-91,activated CD4 T cells,MCEMP1
GIMAP4.6,4.83E-95,-0.314443011,0.221,0.389,-0.168,1.46E-90,activated CD4 T cells,GIMAP4
ARAP1.3,6.71E-95,-0.251402931,0.045,0.172,-0.127,2.03E-90,activated CD4 T cells,ARAP1
MARCO.7,7.55E-95,-0.310274807,0.008,0.112,-0.104,2.28E-90,activated CD4 T cells,MARCO
GNAI2.4,1.46E-94,-0.337616306,0.354,0.515,-0.161,4.40E-90,activated CD4 T cells,GNAI2
ATP2B1-AS1.3,1.55E-94,-0.2930013,0.064,0.198,-0.134,4.67E-90,activated CD4 T cells,ATP2B1-AS1
DENND3.3,1.56E-94,-0.258482622,0.046,0.172,-0.126,4.70E-90,activated CD4 T cells,DENND3
PSMB8.2,2.25E-94,0.266462234,0.576,0.465,0.111,6.80E-90,activated CD4 T cells,PSMB8
ATP6AP1.4,3.19E-94,-0.284064175,0.147,0.301,-0.154,9.63E-90,activated CD4 T cells,ATP6AP1
CXCL2.6,3.20E-94,-0.349384057,0.016,0.125,-0.109,9.66E-90,activated CD4 T cells,CXCL2
GZMH.7,3.73E-94,-0.422489087,0.034,0.151,-0.117,1.13E-89,activated CD4 T cells,GZMH
MGAT1.4,5.86E-94,-0.313030258,0.193,0.351,-0.158,1.77E-89,activated CD4 T cells,MGAT1
HLA-DPA1.8,7.80E-94,-0.378317184,0.609,0.625,-0.016,2.35E-89,activated CD4 T cells,HLA-DPA1
CANX.5,3.41E-93,-0.305688498,0.249,0.407,-0.158,1.03E-88,activated CD4 T cells,CANX
RETN.7,7.31E-93,-0.288896859,0.006,0.108,-0.102,2.21E-88,activated CD4 T cells,RETN
LGALS9.5,4.11E-92,-0.280657689,0.124,0.271,-0.147,1.24E-87,activated CD4 T cells,LGALS9
ADAM8.2,4.40E-91,-0.314701216,0.087,0.222,-0.135,1.33E-86,activated CD4 T cells,ADAM8
RHOH.7,5.65E-91,0.268328341,0.429,0.287,0.142,1.70E-86,activated CD4 T cells,RHOH
CUTA,1.12E-90,0.260944551,0.562,0.46,0.102,3.37E-86,activated CD4 T cells,CUTA
FKBP2.2,1.12E-90,-0.279037491,0.112,0.257,-0.145,3.39E-86,activated CD4 T cells,FKBP2
FAM104A,1.52E-90,0.253317326,0.242,0.137,0.105,4.59E-86,activated CD4 T cells,FAM104A
SEC11C.1,1.72E-90,0.286602667,0.375,0.259,0.116,5.18E-86,activated CD4 T cells,SEC11C
CD8A.8,7.28E-90,-0.376377733,0.04,0.155,-0.115,2.20E-85,activated CD4 T cells,CD8A
PTGS2.4,8.59E-90,-0.311612321,0.006,0.104,-0.098,2.59E-85,activated CD4 T cells,PTGS2
IRF2BP2.3,9.08E-90,-0.256301589,0.112,0.259,-0.147,2.74E-85,activated CD4 T cells,IRF2BP2
MYO9B.2,3.87E-89,-0.265413428,0.103,0.245,-0.142,1.17E-84,activated CD4 T cells,MYO9B
RASSF2.3,7.21E-89,-0.274385718,0.04,0.155,-0.115,2.18E-84,activated CD4 T cells,RASSF2
PLEKHO1.2,8.19E-89,-0.266573027,0.102,0.242,-0.14,2.47E-84,activated CD4 T cells,PLEKHO1
ARHGAP26.3,1.16E-88,-0.261343878,0.04,0.157,-0.117,3.51E-84,activated CD4 T cells,ARHGAP26
LAMP2.5,1.49E-88,-0.2978229,0.148,0.295,-0.147,4.51E-84,activated CD4 T cells,LAMP2
TUBA1B.3,2.72E-88,-0.280958851,0.394,0.558,-0.164,8.20E-84,activated CD4 T cells,TUBA1B
IL1RN.7,4.85E-88,-0.297032927,0.021,0.127,-0.106,1.46E-83,activated CD4 T cells,IL1RN
ODF2L.4,5.11E-88,0.264204489,0.304,0.183,0.121,1.54E-83,activated CD4 T cells,ODF2L
PDXK.4,7.67E-88,-0.257986395,0.087,0.222,-0.135,2.31E-83,activated CD4 T cells,PDXK
ZFP36L1.3,8.56E-88,-0.320462039,0.439,0.586,-0.147,2.58E-83,activated CD4 T cells,ZFP36L1
HLA-DRB1.8,1.33E-87,-0.368442936,0.611,0.616,-0.005,4.00E-83,activated CD4 T cells,HLA-DRB1
DUSP6.2,1.74E-87,-0.262903892,0.035,0.15,-0.115,5.26E-83,activated CD4 T cells,DUSP6
CYSTM1.3,5.57E-87,-0.264236589,0.121,0.267,-0.146,1.68E-82,activated CD4 T cells,CYSTM1
KDM6B.4,3.76E-86,-0.309420989,0.081,0.21,-0.129,1.13E-81,activated CD4 T cells,KDM6B
ANXA2.6,1.10E-85,-0.307257901,0.435,0.549,-0.114,3.31E-81,activated CD4 T cells,ANXA2
ATP6V0D1.4,1.18E-85,-0.291237239,0.173,0.319,-0.146,3.56E-81,activated CD4 T cells,ATP6V0D1
MEGF9.3,1.72E-84,-0.255224282,0.022,0.126,-0.104,5.19E-80,activated CD4 T cells,MEGF9
SNX2.4,1.45E-83,-0.256003252,0.149,0.296,-0.147,4.39E-79,activated CD4 T cells,SNX2
AREG.5,1.78E-83,-0.35638703,0.05,0.166,-0.116,5.37E-79,activated CD4 T cells,AREG
GLIPR2.4,1.70E-82,-0.28689257,0.16,0.302,-0.142,5.13E-78,activated CD4 T cells,GLIPR2
GZMA.8,5.25E-82,-0.467795945,0.133,0.26,-0.127,1.58E-77,activated CD4 T cells,GZMA
A2M.6,7.85E-82,-0.286998828,0.061,0.178,-0.117,2.37E-77,activated CD4 T cells,A2M
TYMP.7,9.85E-81,-0.337013545,0.418,0.517,-0.099,2.97E-76,activated CD4 T cells,TYMP
HSPA6.2,1.68E-80,-0.256626444,0.024,0.126,-0.102,5.08E-76,activated CD4 T cells,HSPA6
CXCL3.8,2.12E-80,-0.331939458,0.02,0.117,-0.097,6.40E-76,activated CD4 T cells,CXCL3
BNIP3L.7,4.71E-80,-0.28414727,0.185,0.329,-0.144,1.42E-75,activated CD4 T cells,BNIP3L
MAPK1.2,5.71E-80,-0.267923159,0.132,0.268,-0.136,1.72E-75,activated CD4 T cells,MAPK1
RNF149.6,1.14E-77,-0.315777799,0.243,0.39,-0.147,3.44E-73,activated CD4 T cells,RNF149
RASSF3.1,1.42E-77,-0.254264343,0.078,0.199,-0.121,4.28E-73,activated CD4 T cells,RASSF3
PSIP1.2,4.73E-77,0.254080161,0.369,0.25,0.119,1.43E-72,activated CD4 T cells,PSIP1
HLA-DRB5.7,4.77E-77,-0.454985675,0.146,0.267,-0.121,1.44E-72,activated CD4 T cells,HLA-DRB5
HOPX.6,9.53E-77,-0.344095543,0.069,0.181,-0.112,2.88E-72,activated CD4 T cells,HOPX
RNASE1.8,7.33E-76,-0.416256347,0.036,0.136,-0.1,2.21E-71,activated CD4 T cells,RNASE1
STXBP2.4,8.57E-76,-0.30318462,0.181,0.315,-0.134,2.59E-71,activated CD4 T cells,STXBP2
JUNB.4,4.26E-75,-0.273770186,0.571,0.692,-0.121,1.29E-70,activated CD4 T cells,JUNB
DDX24.5,1.01E-74,0.263950596,0.533,0.432,0.101,3.05E-70,activated CD4 T cells,DDX24
EZR.2,1.06E-74,0.261008933,0.461,0.35,0.111,3.19E-70,activated CD4 T cells,EZR
VNN2,2.31E-74,-0.252012175,0.014,0.103,-0.089,6.97E-70,activated CD4 T cells,VNN2
LCP1.2,4.35E-74,-0.273461395,0.492,0.626,-0.134,1.31E-69,activated CD4 T cells,LCP1
GYPC.5,5.11E-74,0.251579694,0.486,0.37,0.116,1.54E-69,activated CD4 T cells,GYPC
HLA-F.2,1.90E-73,0.250042443,0.544,0.433,0.111,5.73E-69,activated CD4 T cells,HLA-F
TLK1,2.38E-73,0.275025047,0.293,0.192,0.101,7.19E-69,activated CD4 T cells,TLK1
HSP90B1.3,5.30E-73,-0.282983344,0.366,0.503,-0.137,1.60E-68,activated CD4 T cells,HSP90B1
RTN3.4,2.00E-72,-0.273563474,0.174,0.31,-0.136,6.02E-68,activated CD4 T cells,RTN3
RANBP1.1,2.80E-71,0.269681501,0.445,0.356,0.089,8.45E-67,activated CD4 T cells,RANBP1
